Presenter Name,Institution
Joanna Bates,"The University of Sheffield, United KingdomTools to support learning in Interdisciplinary ChallengesPresenter"
Una Beagon,"TU Dublin, IrelandReflection, Metacognition and Life Long LearningReflection, Metacognition and Life Long LearningSustainability and Curriculum InnovationsPresenterWS session 3-2-12 Lifelong learning as an engineering educator: A hands-on co-creation exercise to enhance engineering students’ lifelong learning competencies"
Séllei Beatrix,"BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS, HungaryWell-being & Care"
Stephen Beck,"University of Sheffield, United KingdomCritical approaches in Project based learning"
Marina Belkina,"College, Western Sydney University, Sydney, AustraliaWS session 3-3-07 Evaluating and transforming you and your colleagues’ assessments in an age of generative AI"
Liudmila Beloglazova,"Karelia University of Applied Sciences, FinlandCredentials, Competences and Life Long Learning"
Iouri Belski,Royal Melbourne Institute of TechnologyBuilding Thinking Capacity
Seddik Benlaksira,"GRESEC, Université Grenoble Alpes, FranceEthics Learning Activities"
Katrin Bentel,"Eidgenössische Technische Hochschule Zürich, SwitzerlandWS session 3-2-10 Beyond “Just play with it!”: A rubric to help teachers design Jupyter notebooks for instructional efficiencyPresenter"
Szabolcs Berezvai,"Budapest University of Technology and Economics, HungaryCredentials, Competences and Life Long LearningMathematics Innovations"
Julia Berg-Postweiler,"Research Group Gender and Diversity in Engineering, RWTH Aachen University, GermanyOnline and Onsite Learning"
Maria Berge,"Umeå University, SwedenWS session 3-2-07 What more can I/we do? Exploring the potential of humor and activism for accelerating educational transformationPresenter"
Becky Bergman,"Chalmers University of Technology, SwedenWS Session 4-08 Exploring DEI in teacher professional development in engineering education: What, How, and Why?PresenterTheorising to Practicing in DEI"
Sandra Bermejo Broto,"Universitat Politècnica de Catalunya, SpainGenerative AI and LLMs"
Jonte Bernhard,"Linköping University, SwedenCurriculum RedesignPresenterWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS Session 4-06 Engineering education research: Reviewing jounral manuscripts fairly, constructively and effectivelyPresenter"
Sebastian Bernhard,"Research Group Gender and Diversity in Engineering, RWTH Aachen University, GermanyOnline and Onsite Learning"
Lykke Brogaard Bertel,"Aalborg University, DenmarkWS session 2-2-06 Epistemic Lenses for Designing Instruction and Supervision in the Age of Generative Artificial Intelligence: An Adaptive Gameful Approach to Higher Education PedagogyPresenter"
Gary Bertoline,Purdue UniversityInclusivity & Belonging
Renato Bezerra Rodrigues,University of ManitobaWS session 2-2-08 Teaching Engineering Ethics in the Disciplines: Strategies to integrate ethics into the classroom
Barkat Bhayo,"Lappeenranta-Lahti University of Technology LUT, FinlandTeaching for Inclusivity in Engineering programmes"
Emília Bigotte de Almeida,"Polytechnique University of Coimbra - IPC/ISEC, PortugalMathematics and Real world data"
Johannes Bjerva,"Aalborg University, DenmarkTeaching and Learning with Digital Tools"
Camilla Björn,"KTH Royal Institute of Technology, SwedenCompetences across the curriculum"
Justine I. Blanford,"University of Twente, Netherlands, TheCurriculum Redesign"
Estelle Blavy,"Icam site de Strasbourg-Europe, FranceGenerative AI and LLMs"
Brit-Maren Block,"Leuphana University Lüneburg, GermanyDiversity and pathwaysTeaching and Learning with Digital ToolsTransversal Skills Learning"
Veerle Bloemen,"KU Leuven, BelgiumEducating the Whole EngineerPresenter"
Tom Boersen,"Aalborg University, DenmarkSIG Workshop 1-09 Eager to further develop the field of engineering ethics education?Presenter"
Elizabeth Bogal-Allbritten,"NTNU Norwegian University of Science and Technology, NorwayWS Session 4-07 Establishing centra for engineering education development – sharing experiences"
Malene Bolding,"DTU Learning Lab, Technical University of DenmarkBuilding CapacityPresenterWS session 3-3-08 Game On: Inclusivity in STEM teacher training through interactive playPresenter"
Gunter Bombaerts,"Technical University of Eindhoven, Netherlands, TheCognition and MetacognitionSIG Workshop 1-09 Eager to further develop the field of engineering ethics education?Presenter"
Chloé Bonifas,"IPhiG, Université Grenoble Alpes, FranceEthics Learning Activities"
Marianna Bosch,"Universitat de Barcelona, SpainMathematics and Real world data"
Martijn Boussé,"Maastricht University, Netherlands, TheLearning and Testing in MathematicsPresenter"
Matt Bovel,"EPFL, SwitzerlandPoster session (incl. refreshment break)Presenter"
Brian Bowe,"TU Dublin, IrelandSustainability and Curriculum Innovations"
Fiona Boyle,"Munster Technological University, IrelandEducating the Whole EngineerPresenterLearning in Virtual and Augmented Realities"
Greta Bozzelli,"University of Twente, Enschede, The NetherlandsEngagement and Disengagement"
Tom Børsen,Aalborg UniversityWS session 2-2-08 Teaching Engineering Ethics in the Disciplines: Strategies to integrate ethics into the classroomPresenterWS session 3-3-05 Leading the Development of EER Books and Special Issues
Marta Bracha,"Elsevier, United States of AmericaWS session 3-2-04 Chasing Career Readiness: Raising Engineers for Critical and Ethical Information Gathering and Analysis to Solve Complex ProblemsPresenter"
Ramon Bragós Bardia,"Universitat Politècnica de Catalunya, SpainGenerative AI and LLMs"
Urs Brändle,"Eidgenössische Technische Hochschule Zürich, SwitzerlandWS session 3-2-10 Beyond “Just play with it!”: A rubric to help teachers design Jupyter notebooks for instructional efficiency"
Eugenio Bravo,"Eindhoven University of Technology, The NetherlandsBuilding Thinking CapacityWS session 3-3-06 Strengthening Student Learning: From Outcome-based to Process-based Learning"
Rebecca Broadbent,Aston UniversityWS session 2-3-03 Engineering education research: Writing for publication
Mark Brown,"Dublin City University, IrelandEthics and Sustainability in Engineering Programmes"
Edward Browncross,"The University of Sheffield, United KingdomSimulations in Engineering EducationPresenterSimulations in Engineering EducationPresenter"
Barbora Bruant Gulejova,"University Bern, SwitzerlandWS session 3-2-11 Engineering a Sustainable Future: Inspiring next STEM generation by InnovationPresenter"
Jürgen Brugger,"Microsystems Laboratory, Ecole Polytechnique Fédérale de Lausanne (EPFL), SwitzerlandLearning in Virtual and Augmented Realities"
Anneke Bruwer,"University of Colorado Colorado Springs, United States of AmericaDiversity in Engineering Education Experiences"
Markus Buerer,"Switch, SwitzerlandWS session 3-3-12 Sponsor WS (Switch) Videos in education and researchPresenter"
Joshua Burridge,"The University of Melbourne, AustraliaBuilding CapacityPresenter"
Gavin Buskes,"The University of Melbourne, AustraliaBuilding Thinking CapacityPresenter"
Ahmed Ashraf Butt,"Carnegie Mellon University, USAMetacognition and Reflection in  Engineering Education"
Aimee Byrne,"TU Dublin, IrelandReflection, Metacognition and Life Long LearningReflection, Metacognition and Life Long LearningWS session 3-2-12 Lifelong learning as an engineering educator: A hands-on co-creation exercise to enhance engineering students’ lifelong learning competencies"
Annoesjka Cabo,"Delft University of Technology, The NetherlandsDeveloping Engineering EducatorsPresenter"
Wenjun Cai,"Eindhoven University of Technology, the NetherlandsMathematics InnovationsPresenter"
Matthew John Cairns,"Queen's University Belfast, United KingdomEngineering Skills: Thinking, Acting and FeelingPresenter"
Francisco J. R. M. Calhindro,"Faculty of Engineering of University of Porto;Coimbra Institute of Engineering, PortugalEngineering Skills: Thinking, Acting and FeelingPresenter"
Merve Çalımlı Akgün,"Istanbul Technical Unversity, TurkiyeWS session 3-2-06 The learning station model: Co-creation with students and stakeholders as a practice for knowing, thinking,feeling, and doing"
Anita Lee Campbell,University of Cape TownMathematics in Transition into UniversityPresenterWS session 3-3-09 Promoting friendship through teamwork in undergraduare engineering: Exploring together the role of the instructorPresenter
Jaïr Campfens,"EPFL, SwitzerlandEthics Learning Activities"
Mieke Cannaerts,"Ku Leuven, BelgiumBeing and Relating EthicallyPresenterGender and Engineering Experiences"
Iris Capdevila,"EPFL, SwitzerlandPBL in disciplinary contextsPresenterSIG Workshop 1-10 Curriculum development and emerging curriculum models in engineering"
Roser Capdevila,"Universitat Politècnica de Catalunya · BarcelonaTech, SpainEngagement and Disengagement"
Enrica Caporali,"University of Florence, ItalyDiversity in Engineering Education ExperiencesPresenter"
Patricia Caratozzolo,"Tecnologico de Monterrey Mexico City, Mexico;Institute for the Future of Education, Tecnologico de Monterrey, MexicoBuilding CapacitySIG Workshop 1-07 Needs of students and educators for effective organization of continuing engineering educationPresenterTransversal SkillsPresenterWS session 3-2-01 Refining a taxonomy and lexicon for continuing engineering educationPresenter"
Mary Carden,"ATU Sligo, Ireland;Atlantic Technological University Sligo, IrelandSocially Responsible DesignPresenterTransversal Skills LearningPresenter"
Aristides Pablo Carrillo Fernandez,Purdue UniversityWS session 3-3-09 Promoting friendship through teamwork in undergraduare engineering: Exploring together the role of the instructor
Jenni M. Case,"Virginia Tech, Blacksburg, USASIG Workshop 1-01 Kicking off the EER Reading Club -The Handbook of Engineering Research SeriesPresenter"
Roger Castells-Martínez,"Universitat Politècnica de Catalunya · BarcelonaTech, SpainEngagement and Disengagement"
Marcel·la Castells-Sanabra,"Universitat Politècnica de Catalunya · BarcelonaTech, SpainEngagement and Disengagement"
Raquel Cervigón,"University of Castilla-La Macha, SpainPoster session (incl. refreshment break)Presenter"
Huey Yee Chan,"The University of Melbourne, Melbourne, AustraliaCurriculum Development"
Shannon Chance,"Technological University Dublin, Ireland;University College London, United Kingdom;TU Dublin, Ireland;UCLGender and Engineering ExperiencesSIG Workshop 1-09 Eager to further develop the field of engineering ethics education?PresenterWS Session 4-06 Engineering education research: Reviewing jounral manuscripts fairly, constructively and effectivelyPresenterWS session 2-2-05 Securing fellowships for engineering education researchPresenterWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS session 3-3-05 Leading the Development of EER Books and Special IssuesPresenter"
Julia Chatain,"Professorship for Learning Sciences and Higher Education, ETH Zurich, SwizerlandLearning in Virtual and Augmented Realities"
Avanish Chauhan,"IIT Gandhinagar, India;Karnavati UniversityTransversal Skills Learning"
Nathalie Chelin,"IMT Atlantique, FranceTeamwork & Leadership"
Peter Chemweno,"University of Twente, Netherlands, ThePoster session (incl. refreshment break)Presenter"
Dai Chen,"Chinese Society for Engineering Education, China, People's Republic ofWS session 2-3-01 : Asian Engineering Education Forum at SEFFI 2024Presenter"
Jiaxin Chen,"UCL, United KingdomSupporting Diversity"
Juabei Chen,Aalborg UniversitySustainability and Curriculum Innovations
Shardul Chiplunkar,"EPFL, SwitzerlandTeaching Engineering SkillsPresenter"
Shih-Feng Chou,"University of Texas at Tyler, United States of AmericaAI in Engineering Education"
Darcie Christensen,"Minnesota State University Mankato - Iron Range Engineering, United States of AmericaInner and Outer Sustainable DevelomentPresenter"
Sarah Chung,"University of Birmingham, United KingdomDiversity in Engineering Education Experiences"
Francesco Ciriello,"King's Collage London, United KingdomWS session 2-2-09 Engineering Non-technical Skills Behavioral Taxonomy: A Sort and Grid WorkshopPresenter"
Robin Clark,"University of Warwick, United KingdomAttracting Students to STEM Education"
Reena Cole,"School of Engineering, University of Limerick, IrelandAttracting Students to STEM Education"
Joanna Collingwood,"University of WARWICK, United KingdomGender and Engineering Experiences"
Gill Cooke,"University of Warwick, United KingdomMetacognition and Reflection in  Engineering Education"
Neil Cooke,"University of Birmingham, United Kingdom;University of Birmingham, United KindgomDiversity in Engineering Education ExperiencesPresenterSIG Workshop 1-03 Sorting skills: curriculum profiles and the forthcoming SEFI handbookPresenter"
Cindy Cooper,"The Lemelson FoundationWS session 3-2-03 Skills-based workshop for educators navigating a Volatile, Uncertain, Complex and Ambiguous world using recently co-created toolsPresenter"
Christiano Cordeiro Cruz,Universidade Federal de São João del-ReiWS session 2-2-08 Teaching Engineering Ethics in the Disciplines: Strategies to integrate ethics into the classroom
Daniel Cottle,"University of Birmingham, United KingdomDiversity in Engineering Education Experiences"
Digna Couso,"Universitat Autònoma de Barcelona, SpainAttracting Students to STEM Education"
Sofie Craps,"KU Leuven;Leuven Engineering and Science Education Center (LESEC), BelgiumAttractiveness Systems for Engineering PathwaysPresenterBeing and Relating EthicallyGender and Engineering ExperiencesPresenterReflection, Metacognition and Life Long LearningReflection, Metacognition and Life Long LearningSIG Workshop 1-04 Engineering Outreach: Examples, Evaluation and EvidencingPresenterWS session 3-2-12 Lifelong learning as an engineering educator: A hands-on co-creation exercise to enhance engineering students’ lifelong learning competencies"
Laura Cray,"University of Twente, Netherlands, TheCurriculum Redesign"
Emma Crichton,"Engineers Without Borders UK, United KingdomCurriculum RedesignWS session 3-2-03 Skills-based workshop for educators navigating a Volatile, Uncertain, Complex and Ambiguous world using recently co-created tools"
Emily Cross,"Eidgenössische Technische Hochschule Zürich, SwitzerlandArts-based Education of Acting, Thinking and Feeling"
Juan Cruz,"Rowan University, United States of AmericaWS session 2-2-10 Sharing effective practices for supporting entering doctoral studentsPresenter"
Sandra Ireri Cruz Moreno,"Technological University Dublin, IrelandGender and Engineering ExperiencesPresenter"
Sandra Ireri Cruz Moreno,TU DublinWS session 2-2-05 Securing fellowships for engineering education research
Szabina Cziráki,"National Council of Student Research SocietiesCredentials, Competences and Life Long Learning"
Ray Dagastine,"The University of Melbourne, Melbourne, AustraliaCurriculum Development"
Valentina Dagienė,Vilnius UniversityCurriculum Redesign
Scott Daniel,"University of Technology Sydney, Australia;School of Professional Practice & Leadership, University of Technology Sydney, Sydney, AustraliaGenerative AI and LLMsPresenterWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS session 3-3-07 Evaluating and transforming you and your colleagues’ assessments in an age of generative AIPresenterWS Session 4-06 Engineering education research: Reviewing jounral manuscripts fairly, constructively and effectivelyPresenter"
Ambre Davat,"GRESEC, Université Grenoble Alpes, FranceEthics Learning Activities"
Aled Wyn Davies,"Cardiff University, United KingdomTeaching DesignPresenter"
Harry Day,"The University of Sheffield, United KingdomNew Teachers of EngineeringPresenterWS Session 4-09 PUT A FILTER ON IT…the art of reframing practical teaching activitiesPresenter"
Wim de Boer,"University of Twente, Netherlands, The;University of Twente EnschedeInnovations in Curriculum ModelsSIG Workshop 1-07 Needs of students and educators for effective organization of continuing engineering education"
Manuele De Conti,"Università Cattaneo - LIUC, ItalyDeveloping Engineering Educators"
Tinne De Laet,"KU Leuven, BelgiumPoster session (incl. refreshment break)SIG Workshop 1-01 Kicking off the EER Reading Club -The Handbook of Engineering Research SeriesPresenter"
Joelyn de Lima,"The Swiss Federal Institute of Technology (EPFL);École Polytechnique Fédérale de Lausanne (EPFL), SwitzerlandDiversity and pathwaysPresenterGroup-based LearningPresenterSIG Workshop 1-05 Enacting our values - Steps towards a more sustainable and inclusive SEFI communityPresenterTransversal SkillsPresenterWS session 2-3-04 Transversal skills that promote sustainability -> an experiential activity for engineering studentsPresenterWS session 3-3-11 Creating experiential activities to teach transversal skills in your course with a backward design templatePresenter"
Julian Dean,"The University of Sheffield, United KingdomTools to support learning in Interdisciplinary Challenges"
Marie Decker,"Research Group Gender and Diversity in Engineering, RWTH Aachen University, GermanyOnline and Onsite LearningPresenterPerspectives on AIPresenter"
Jessica Dehler Zufferey,"Ecole polytechinque Fédéerale de Lausanne, SwitzerlandTransversal Skills"
Laurie Delnoij,"Maastricht University, Netherlands, TheLearning and Testing in Mathematics"
Lisa Demant,"Hochschule Ruhr West, University of Applied Sciences, GermanyMetacognition and Reflection in  Engineering Education"
Caitriona DePaor,"TU Dublin, IrelandReflection, Metacognition and Life Long LearningReflection, Metacognition and Life Long LearningWS session 3-2-12 Lifelong learning as an engineering educator: A hands-on co-creation exercise to enhance engineering students’ lifelong learning competencies"
Simone Deparis,"École Polytechnique Fédérale de Lausanne (EPFL), SwitzerlandGroup-based LearningTeaching for Inclusivity in Engineering programmes"
Hanne Deprez,"KU Leuven;Leuven Engineering and Science Education Center (LESEC), BelgiumAttractiveness Systems for Engineering PathwaysPresenterNew Teachers of EngineeringPresenterSIG Workshop 1-04 Engineering Outreach: Examples, Evaluation and EvidencingPresenter"
Siroune Marie-Noëlle Der Sarkissian,"EPFL, SwitzerlandSustainability and Curriculum Innovations"
Jannis Dethmann,"Leuphana University Lüneburg, GermanyTeaching and Learning with Digital ToolsPresenter"
Louis Devillaine,"PACTE, Université Grenoble Alpes, FranceEthics Learning Activities"
Teguh Dewangga,"UCL, United KingdomSupporting Diversity"
Matteo Di Benedetti,"The University of Sheffield, United KingdomNew Teachers of EngineeringPresenterSIG Workshop 1-03 Sorting skills: curriculum profiles and the forthcoming SEFI handbookPresenterSimulations in Engineering Education"
Maria Carla Di Vincenzo,"Ecole Polytechnique Fédérale de Lausanne, SwitzerlandWS session 3-2-10 Beyond “Just play with it!”: A rubric to help teachers design Jupyter notebooks for instructional efficiency"
Pierre Dillenbourg,"EPFL, SwitzerlandSustainability and Curriculum Innovations"
Ines Direito,"TEMA, University of Aveiro, Portugal;CEE, University College London, United Kingdom;Universidade de Aveiro;UCLEducating the Whole EngineerPresenterResilience & Emotional CapabilitiesTheorising to Practicing in DEIWS session 2-2-05 Securing fellowships for engineering education researchWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS session 3-3-05 Leading the Development of EER Books and Special Issues"
Ludmila Dohnalova,"Czech Technical University in Prague, Czech RepublicAttractiveness Systems for Engineering Pathways"
Luke Dokter,"Norwegian Defence University College, NorwayTransversal SkillsPresenter"
Alexandra Dorschu,"Ruhr West, University of Applied Sciences, GermanyLearning and Testing in Mathematics"
Kerrie A Douglas,"School of Engineering Education, Purdue University, United States of AmericaCompetences across the curriculum"
Robin Ann Downey,"Bilkent University, TurkiyeTeaching Responsible Engineering"
Veerle Draulans,"Ku Leuven, BelgiumBeing and Relating Ethically"
Emily Dringenberg,"The Ohio State University, United States of AmericaWS session 2-3-10 Who is the best engineer? Identity theory as a framework to reflect on how our classroom praxis informs the value of social responsibility in engineeringPresenter"
Xiangyun Du,"Aalborg UniversityWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS Session 4-06 Engineering education research: Reviewing jounral manuscripts fairly, constructively and effectivelyPresenter"
Lene Duedahl-Olesen,"DTU, DenmarkInclusivity & Belonging"
Rani Dujardin,"KU Leuven, BelgiumReflection, Metacognition and Life Long LearningReflection, Metacognition and Life Long LearningPresenterWS session 3-2-12 Lifelong learning as an engineering educator: A hands-on co-creation exercise to enhance engineering students’ lifelong learning competencies"
Sofia Duran-Cardenas,"IPhiG, Université Grenoble Alpes, FranceEthics Learning ActivitiesPresenter"
Sophia Economides,"UCL Centre for Engineering Education, United Kingdom;UCL, United KingdomSIG Workshop 1-10 Curriculum development and emerging curriculum models in engineeringSupporting DiversityPresenter"
Michael Edgar,"Munster Technological University, IrelandLearning in Virtual and Augmented RealitiesPresenter"
Kristina Edström,"KTH Royal Institute of Technology;Delft University of Technology, The NetherlandsWS session 3-3-05 Leading the Development of EER Books and Special IssuesCompetences across the curriculumPresenterDeveloping Engineering EducatorsPresenterWS session 2-3-03 Engineering education research: Writing for publicationPresenterWS Session 4-06 Engineering education research: Reviewing jounral manuscripts fairly, constructively and effectivelyPresenter"
Obioma Egemonye,"University College London, United KingdomDiversity in Engineering Education Experiences"
Daniel Einarson,"Kristianstad University, SwedenEthics and Sustainability in Engineering ProgrammesPresenterPerspectives on Sustainability in Engineering EducationPresenter"
Stine Ejsing-Duun,"Aalborg University, DenmarkWS session 2-2-06 Epistemic Lenses for Designing Instruction and Supervision in the Age of Generative Artificial Intelligence: An Adaptive Gameful Approach to Higher Education PedagogyPresenter"
Mohammed El Kihal,"Virginia Polytechnic Institute and State University, United States of AmericaEngagement and DisengagementPresenter"
Antoni Elias,"Universitat Politècnica de Catalunya (UPC), SpainCognition and Metacognition"
Mark Elliott,University of BirminghamGender and Engineering Experiences
Lógó Emma,"BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS, HungaryWell-being & CarePresenter"
Mikael Enelund,"Chalmers University of Technology, SwedenWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challenges"
Jeanette Engzell,"Linköping University, SwedenDeveloping Engineering EducatorsPresenter"
Vera Ernsting,"Pädagogische Hochschule (PHBern), SwitzerlandWS session 2-3-09 Supporting the full life cycle of rich open educational resources with a learning experience platform"
Harri Eskelinen,"LUT University, Lappeenranta, FinlandPoster session (incl. refreshment break)"
Vero Estrada-Galiñanes,"EPFL, SwitzerlandSocial and Human Sciences in Engineering EducationPresenter"
Asaad Fallaha,"Karlstad University, SwedenMathematics in Transition into UniversityPresenter"
Maarouf Fallaha,"Karlstad University, SwedenMathematics in Transition into UniversityPresenter"
Evamaria Fauster,"Research Group Gender and Diversity in Engineering, RWTH Aachen University, GermanyOnline and Onsite Learning"
Yoann Favre,"Swiss Federal University for Vocational Education and Training (SFUVET), SwitzerlandEducating the Whole Engineer"
Xiaoqi Feng,"Aalto University, FinlandWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challengesPresenter"
Laura Ferrarello,"EPFL, SwitzerlandEthics Learning ActivitiesPresenter"
João C. A. Ferreira Mendes,"Coimbra Institute of Engineering, PortugalEngineering Skills: Thinking, Acting and Feeling"
Ivet Ferrer,"GEMMA - Group of Environmental Engineering and Microbiology, Department of Civil and Environmental Engineering, Universitat Politècnica de Catalunya (BarcelonaTech)Teaching for Inclusivity in Engineering programmes"
Mihai Filimon,"Board of European Students of technology, BelgiumPerspectives on Sustainability in Engineering EducationPresenterWS session 2-2-11 Archimedean Oath: A reflection tool for responsible engineersPresenter"
Cynthia Finelli,"University of Michigan, United States of AmericaSustainability in Technical Disciplines"
Alessio Fino,"Board of European Students of technology, BelgiumPerspectives on Sustainability in Engineering Education"
Marina Fiori,"Swiss Federal University for Vocational Education and Training (SFUVET), SwitzerlandEducating the Whole Engineer"
Sam Jeffery Fishlock,"The Engineering & Design Institute London, United KingdomTeaching Design"
Daniel Flück,"Eidgenössische Technische Hochschule Zürich, SwitzerlandWS session 3-2-10 Beyond “Just play with it!”: A rubric to help teachers design Jupyter notebooks for instructional efficiency"
Kai Fordham-Brown,"University of Sheffield, United KingdomTeaching Engineering Skills"
Anna Augusta Fornø,"Technical University of Denmark, DenmarkNew Teachers of EngineeringPresenter"
Jörgen Forss,"Linnaeus University, SwedenDiversity in Engineering Education ExperiencesPresenter"
Xavier Fouger,"Dassault Systemes, FranceWS 3-2-02 Sponsor WS (Dassault) Swiss engineering wins with the vitual twin/ from researchers to studentsPresenter"
Ana Freitas,Universidade PortoOnline and Onsite Learning
Maria-Josep Freixanet,"Universitat Politècnica de Catalunya, SpainMathematics and Real world data"
Dennis Friedrichsen,"Aalborg University, DenmarkAttractiveness Systems for Engineering Pathways"
Marc Salvador Fuentes Bongenaar,"University of Twente, Netherlands, TheInnovations in Curriculum ModelsPresenter"
Tina A. Fuhrmann,"University of Applied Sciences Merseburg, GermanyMathematics in Transition into UniversityPresenter"
Jon Fullwood,"University of Sheffield, United KingdomTheorising to Practicing in DEIPresenter"
Elisa Futos-Bernal,"Universidad de Salamanca, SpainMathematics and Real world dataMathematics and Real world data"
Crawford Koltai Gabriella,"WMG, University of Warwick, United KingdomArts-based Education of Acting, Thinking and Feeling"
Joan Miquel Galve,"University of Castilla-La Macha, SpainPoster session (incl. refreshment break)"
Pedro-Javier Gamez-Montero,"Department of Fluid Mechanics, Universitat Politecnica de Catalunya, Terrassa, SpainTeaching Engineering SkillsPresenter"
Saul Garcia Huertes,"Universitat Politècnica de Catalunya, SpainGenerative AI and LLMsPresenter"
Maria del Pilar Garcia Souto,"UCL, United KingdomGroup-based LearningPresenterWS Session 4-10 Addressing issues related to running and assessment of group work in engineering educationPresenter"
Adélie Garin,"EPFL, SwitzerlandSustainability and Curriculum InnovationsPresenter"
Andrew Garrard,"University of Sheffield, United KingdomCritical approaches in Project based learningSimulations in Engineering EducationTheorising to Practicing in DEIWS Session 4-09 PUT A FILTER ON IT…the art of reframing practical teaching activities"
