Presenter Name,Institution
Sepideh Zahiri,BI Norwegian Business School
Ambrogio Cesa-Bianchi,Bank of England
Makram Khalil,"University of Vienna, Vienna Graduate School of Economics"
Frode Martin Nordvik,BI Norwegian Business School
Olayinka Oyekola,Cardiff University
Espen Henriksen,BI Norwegian Business School
Francesco Sobbrio,LUISS Guido Carli
Rafael Costa Lima,Federal University of Pernambuco
Paolo Roberti,University of Bologna
Sophie Hatte,University of Lausanne
Tommaso Denti,MIT
Doron Ravid,University of Chicago
David Dillenberger,University of Pennsylvania
Vasiliki Skreta,University College London
Shintaro Miura,Kanagawa University
Alessandro Ispano,CREST
Mehdi Ayouni,U Cergy-Pontoise
Francesco Giovannoni,University of Bristol
Kaustav Das,University of Exeter Business School
Anne-Katrin Roesler,University of Michigan
Daria Khromenkova,University of Mannheim
Christoph Wolf,University of Mannheim
Gizem Kosar,Federal Reserve Bank of New York
Nicky Grant,University of Manchester
Gabriela Galassi,
Remco Mocking,CPB Netherlands Bureau for Economic Policy Analysis
Frédérique Savignac,Banque de France
Peter Levell,Institute for Fiscal Studies
Steven Poelhekke,Vrije Universiteit Amsterdam
Bastiaan Quast,The Internet Society
Casper Hansen,University of Copenhagen
Karl Schlag,University of Vienna
Bihemo Kimasa,University of Konstanz
Anton Sobolev,University of Vienna
Louis Raes,Tilburg University
Stephan Jank,Deutsche Bundesbank
Nathan Foley-Fisher,Federal Reserve Board of Governors
Federico Tamagni,Scuola Superiore Sant'Anna
Koki Oikawa,Waseda University
Georgios Petropoulos,Bruegel and Toulouse School of Economics
Bridget Hoffmann,Inter-American Development Bank
Miriam Breckner,University of Munich
Hagen Schwerin,ETH Zurich
Naci Mocan,LSU and NBER
Reto Odermatt,University of Basel
Jonas Nordström,
Kerstin Roeder,University of Augsburg
Amrita Dhar,University of Houston
Ilknur Zer,Federal Reserve Board
Borek Vasicek,European Commission
Yu Zheng,City University of Hong Kong
Peter McAdam,European Central Bank
Kjetil Storesletten,University of Oslo
Alexander Ahammer,Johannes Kepler University Linz
Annette Bergemann,University of Bristol
Venke Haaland,University of Stavanger
Marion Leturcq,INED
Nicholas Giannakopoulos,University of Patras
Rafael Lalive,University of Lausanne
Yvonne Giesing,University of Munich
Selahattin Imrohoroglu,University of Southern California
Gaia Narciso,Trinity College Dublin
Maria Björklund,Uppsala University
Laura Moretti,Central Bank of Ireland
Bin Grace Li,International Monetary Fund
Michal Horvath,University of York
Carlos Carvalho,PUC-Rio
Charles Brendon,University of Cambridge
Alex Clymo,University of Amsterdam
Marcelo Zouain Pedroni,University of Amsterdam
Xavier Ragot,Paris School of Economics
Tuomas Kosonen,"VATT, Government institute for economic research"
Nils aus dem Moore,"RWI Essen, Berlin Office"
Cortnie Shupe,German Institute for Economic Research
Emre Aylar,Lund University
Thomas Pope,Institute for Fiscal Studies
Laszlo Balazsi,Central European University
Ivan Frankovic,Austrian Academy of Sciences
Pierlauro Lopez,Banque de France
Ramon Marimon,European University Institute and UPF - Barcelona GSE
Clément Nedoncelle,INRA
Matthias Beestermoeller,LMU Munich
Philipp Meinen,Deutsche Bundesbank
Deepal Basak,NYU
Sebastian Schweighofer-Kodritsch,WZB Berlin Social Science Center and Humboldt-University Berlin
Chloe Tergiman,University Of British Columbia
Yves LE YAOUANQ,Toulouse School of Economics
Kim-Sau Chung,Chinese University of Hong Kong
Nicola Pavoni,"Bocconi University, IGIER"
Suvi Vasama,Humboldt-Universität zu Berlin
Lucie Ménager,LEMMA
Niklas Ahlgren,Hanken School of Economics
Dimitra Kyriakopoulou,Bank of Greece and University of Piraeus
Menelaos Karanasos,Brunel University
Jani Luoto,University of Helsinki
Mika Meitz,University of Helsinki
Joerg Stoye,Cornell University
Pierre Collin-Dufresne,Ecole Polytechnique Federale de Lausanne
Hector F. CALVO PARDO,UNIVERSITY OF SOUTHAMPTON
Tat-kei Lai,Copenhagen Business School
Alex Trew,University of St Andrews
Ted Temzelides,Rice University
Alexis Anagnostopoulos,Stony Brook University
Phillip Heiler,University of Konstanz
Jin-Young Choi,Goethe University Frankfurt
Ruixuan Liu,Emory University
Prosper Dovonon,Concordia University
Tadao Hoshino,Waseda University
Andros Kourtellos,University of Cyprus
Chor-yiu (CY) SIN,National Tsing Hua University
Peter Farkas,Central European University
Anne Opschoor,Vrije Universiteit Amsterdam
Olga Chiappinelli,DIW Berlin
Andrea Mattozzi,European University Institute
Georg Nöldeke,University of Basel
Iqbal Syed,University of New South Wales
Ole Wilms,University of Zurich
Stanislav Khrapov,New Economic School
Eva-Maria Küchlin,University of Tuebingen
Shigehiro Serizawa,Osaka University
Yu Zhou,Osaka University
Christian Basteck,TU Berlin
Debraj Ray,New York University
Mark Armstrong,University of Oxford
Worapree Maneesoonthorn,University of Melbourne
Costanza Naguib,Università della Svizzera italiana
Pau Roldan,New York University
Ally Quan Zhang,Swiss Finance Institute and University of Zurich
Sama Bombaywala,University of Manchester
Onno Kleen,Heidelberg University
Vincenzo Quadrini,University of Southern California
Francois Gourio,Federal Reserve Bank of Chicago
Urban Jermann,University of Pennsylvania
Laura Alfaro,Harvard Business School
Andreas Moxnes,University of Oslo
Kalina Manova,Stanford University
Richard Baldwin,"International Economics at the Graduate Institute, Geneva)"
Nicola Gennaioli,"Bocconi University, Milan"
Ralph Koijen,London Business School
Peter Kondor,Central European University
Bjoern Bartling,University of Zurich
Sandro Ambühl,Stanford University
Alexander Cappelen,NHH Bergen
Valentina Corradi,University of Surrey
Serena Ng,Columbia University
Botond Koszegi,Central European University
Paola Manzini,University of St Andrews
Alexandros Vardoulakis,Board of Governors of the Federal Reserve System
Iñaki Aldasoro,Goethe University Frankfurt
Michael Grill,European Central Bank
Toni Ahnert,Bank of Canada
Silvia Dominguez Martinez,University of Amsterdam
Eva Ranehill,University of Zürich
Julien Senn,University of Zurich
Rosario Macera,Pontificia Universidad Catolica de Chile
Anton Bondarev,Universität Basel
Gaetan Giraudet,
Mary Everett,Central Bank of Ireland
Wei Li,Erasmus University Rotterdam
Elod Takats,Bank for International Settlements
Steven Ongena,University of Zurich
Daniel Oto-Peralias,University of St Andrews
Maëlys de La Rupelle,University of Cergy-Pontoise
Ying Bai,The Chinese University of Hong Kong
Guilherme de Oliveira,
Mike Peacey,University of Bristol
Curdin Pfister,University of Zurich
Daniel Gray,University of Sheffield
Zelda Brutti,European University Institute
Sofronis Clerides,University of Cyprus
Dainis Zegners,LMU Munich
Naoki Wakamori,University of Tokyo
Mario Samano,HEC Montreal
Rahul Mehrotra,"Graduate Institute, Geneva"
Alexander Coutts,Universidade Nova de Lisboa
Friederike Lenel,DIW Berlin; Leibniz University Hannover; Humboldt University Berlin
Marios Karabarbounis,Federal Reserve Bank of Richmond
Christian Bredemeier,University of Cologne
Hafedh Bouakez,HEC Montreal
Jordan Roulleau-Pasdeloup,HEC Lausanne
Peter Jensen,University of Southern Denmark
Mattias Öhman,Uppsala University
Corinna Hentschker,RWI Essen
Tuba Tuncel,Toulouse School of Economics
Kristof De Witte,KU Leuven
Philippe Bracke,Bank of England
Kristian Blickle,University of St. Gallen
Andreas Fuster,Federal Reserve Bank of New York
Tatsuro Senga,Queen Mary University of London
Ryuichi Nakagawa,KANSAI UNIVERSITY
Gaetano Gaballo,Banque de France
Grzegorz Długoszek,Humboldt-Universität zu Berlin
Sara Eugeni,Durham University
Benedetta Bianchi,Trinity College Dublin
Pablo Winant,Bank of England
Christian Wittneben,ZEW Mannheim
Francisco Alcala,Universidad de Murcia
Yukiko Asai,University of Tokyo
Eduard Bruell,University of Heidelberg
Matthias Wilhelm,University of Munich
Etienne Lalé,University of Bristol and IZA
Sumedha Gupta,Indiana University
Giuseppe Fiori,North Carolina State University
Pavel Gertler,National Bank of Slovakia
Daniel Kaufmann,ETH Zurich
Nuno Palma,European University Institute and University of Groningen
Michael Weber,University of Chicago
Klaas Staal,Karlstad University
Robert Gold,IfW -- Kiel Institute for the World Economy
Tobias Koenig,Humboldt-University Berlin/WZB
Fabrizio Germano,Universitat Pompeu Fabra
Daniel Dias,Board of Governors of the Federal Reserv
Lena Sheveleva,"Penn State University, Cardiff Business School"
Anna Gumpert,University of Munich
Nicolas Lepage-Saucier,ENSAI
Karl Taylor,University of Sheffield
Anil Alpman,"Université Paris 1, Paris School of Economics"
Patrick Arni,"IZA - Institute for the Study of Labor, Bonn"
Ivan Canay,Northwestern University
Martin Huber,University of Fribourg
Jann Spiess,Harvard University
Xavier D'Haultfoeuille,CREST
Audrey Hu,University of Amsterdam/Tinbergen Institute
Laurent Lamy,Paris School of Economics (PSE)
Nora Szech,Karlsruhe Institute of Technology
Fabian Herweg,U Bayreuth
Jeremy Kolly,University of Fribourg
Fabian Krüger,Heidelberg Institute for Theoretical Studies
Gary Koop,University of Strathclyde
Francesco Ravazzolo,Free University of Bozen/Bolzano
Jaqueson Galimberti,ETH Zurich
Tom Holden,University of Surrey
Oren Levintal,Interdisciplinary Center Herzliya (IDC)
Elisabeth Pröhl,"Univ. of Geneva, Swiss Finance Institute"
Sander Barendse,Erasmus University Rotterdam
Stanislav Anatolyev,New Economic School
Junghoon Lee,Emory University
Jesús Vázquez,Universidad del País Vasco (UPV/EHU)
Donghoon Yoo,University of Lausanne
Paolo Bonomolo,Sveriges Riksbank
Guillaume Roussellet,NYU Stern School of Business
Oreste Tristani,ECB
Sylvia Kaufmann,Study Center Gerzensee
YiLi Chien,Federal Reserve Bank of St. Louis
Erwan Quintin,University of Wisconsin Madison
V. Filipe Martins-da-Rocha,FGV
Levent Altinoglu,Boston University
Nora Wegner,Bank of England
Yosuke Yasuda,Osaka U
Lars Metzger,TU Dortmund University
Hitoshi Matsushima,University of Tokyo
Elias Einiö,"VATT Institute for Economic Research ; Centre for Economics Performance,LSE"
Konstantinos Serfes,Drexel U
Hisayuki Yoshimoto,University of Glasgow
Zhu Wang,Federal Reserve Bank of Richmond
Marco Pagnozzi,Universita' di Napoli Federico II
Rohit Rahi,London School of Economics
Braz Camargo,Sao Paulo School of Economics - FGV
Andrea Canidio,INSEAD
Thomas Troeger,University of Mannheim
Stefan Penczynski,University of Mannheim
Tatiana Kornienko,University of Edinburgh
Kohei Kawamura,University of Edinburgh
Christoph March,Technical University of Munich
Gregor Reich,University of Zurich
Carlo Chiarella,Colegio Universitario de Estudios Financieros
Mogens Fosgerau,Technical University of Denmark
Jaap Abbring,Tilburg University
Priyodorshi Banerjee,Indian Statistical Institute
Johannes Maier,University of Munich
Agnieszka Tymula,University of Sydney
Kate Reinold,Bank of England
Jeanne Commault,Ecole Polytechnique
Mariacristina De Nardi,"UCL, Federal Reserve Bank of Chicago, NB"
Marcelo dos Santos,Insper
Clive Fraser,University of Leicester
Timothée Demont,Aix-Marseille University
Jan-Peter Siedlarek,Federal Reserve Bank of Cleveland
Sümeyra Atmaca,Ghent University
Narly Dwarkasing,University of Bonn
Joost Roettger,University of Cologne
Ismael Mourifie,University of Toronto
Bastien Chabé-Ferret,Université catholique de Louvain
Marco Valerio Geraci,Université libre de Bruxelles
Jürgen Antony,Pforzheim University
Pierre Aldama,Paris School of Economics
Demosthenes Tambakis,University of Cambridge
Yanos Zylberberg,University of Bristol
Jochen Mierau,University of Groningen
Maria Metzing,German Institute for Economic Research
Nathalie Chusseau,"LEM, University of Lille"
Alexander Jung,European Central Bank
Maddalena Galardo,Banca d'Italia and Luiss Guido Carli
Isabella Blengini,Ecole hôtelière de Lausanne
Marta Paczos,University of Bologna
Andreas Steiner,ifo Institute
Ata Can Bertay,World Bank
Hubert Kempf,ENS de Cachan
Margarita Rubio,University of Nottingham
Lucila Berniell,CAF
Annabelle Doerr,University of Basel
Bernhard Boockmann,IAW
Eleonora Mavroeidi,Bank of England
Jean-Baptiste Michau,"Ecole Polytechnique, France"
Yannick Kalantzis,Banque de France
Martina Viarengo,"The Graduate Institute, Geneva and Harva"
Ara Jo,London School of Economics
Jin Zhou,university of western ontario
Mariana Lopes da Fonseca,Max Planck Institute for Tax Law and Public Finance
Jakub Redlicki,University of Oxford
Laure Athias,University of Lausanne
Marek Raczko,Bank of England
Felix Matthys,ITAM
Howard Kung,London Business School
Andrey Stoyanov,York University
Katharina Erhardt,ETH Zurich
Olga Solleder,International Trade Centre
Maja Adena,Wissenschaftszentrum Berlin für Sozialf
Lisa Spantig,University of Munich
Anouk Schippers,University of Groningen
Yuya Sasaki,Johns Hopkins University
Hugo Bodory,University of St. Gallen
Markus Frölich,University of Mannheim
Cemil Selcuk,Cardiff University
Gorkem Celik,ESSEC Business School
Carolina Manzano,universitat Rovira i Virgili
Maximilian Mihm,NYU Abu Dhabi
Christian Zankiewicz,German Institute for Economic Research (DIW Berlin)
Ayse Kabukcuoglu,Koc University
Emanuel Moench,Deutsche Bundesbank
Eva Ortega,Bank of Spain
Jozef Barunik,"Institute of Economic Studies, Charles U"
Clark Lundberg,San Diego State University
Maddalena Cavicchioli,University of Modena and Reggio Emilia
Adrien Vigier,Oxford University
Elton Dusha,University of Chile
Ansgar Walther,University of Oxford
Jingchao Li,East China University of Science and Technology
Jean-Bernard Chatelain,University Paris I Pantheon Sorbonne
Serdar Ozkan,University of Toronto
Jean-Michel Benkert,University of Zurich
Joao Correia-da-Silva,Faculdade de Economia. Universidade do Porto
Alexey Kushnir,Carnegie Mellon University
Orestis Troumpounis,Lancaster University
Matteo Gamalerio,University of Warwick
Giovanni Andreottola,European University Institute
Dezso Szalay,University of Bonn
Anton Kolotilin,University of New South Wales
Joel Sobel,University of California San Diego
Brendan McCabe,
Tom Boot,Erasmus University Rotterdam
Sanghmitra Gautam,University College London
Berk Yavuzoglu,Nazarbayev University
Nezih Guner,"ICREA-MOVE, UAB and Barcelona GSE"
Filip Klimenka,University of Oxford
Elisa Ossola,European Commission - Joint Research Centre
Juan Jose Dolado,European University Institute
Eddie Dekel,Tel Aviv University and Northwestern Uni
Andreas Bachmann,University of Bern
Christoph Gortz,University of Birmingham
Joachim Jungherr,"IAE (CSIC), MOVE, and Barcelona GSE"
Gaetano Basso,UCDavis
Marius Clemens,German Institute for Economic Research (DIW Berlin)
Martin Bodenstein,Federal Reserve Board
Dmitriy Veselov,Higher School of Economics
Andreas Irmen,University of Luxembourg
Rafael Domenech,Universidad de Valencia
Matthew Rablen,Brunel University London
Daniel Herold,JLU Gießen
Luca Picariello,Norwegian School of Economics
Joris Ghysels,Maastricht University
Raphael Guber,Munich Center for the Economics of Aging
Andrea Ichino,European University Institute
Andreas Neuhierl,University of Notre Dame
Reinhard Ellwanger,Bank of Canada
Laura Coroneo,University of York
Anna Lu,DIW Berlin
Isis Durrmeyer,U Mannheim
Saul Lach,Hebrew U Jerusalem
Hernan Rincon,Banco de la Republica
Kiyotaka Sato,Yokohama National University
Philip Sauré,Swiss National Bank
Sergey Stepanov,Higher School of Economics
Christoph Schottmueller,University of Copenhagen
Jin Yeub Kim,University of Nebraska Lincoln
Danny Cohen-Zada,Ben Gurion University
Friederike Mengel,University of Essex
Arun Jacob,
Laura Pohlan,"ZEW Centre for European Economic Research, Mannheim"
Lukas Fervers,"Institute for Applied Economic Research (IAW), Tübingen"
Sylvie Blasco,University of Le mans
Jerome Bourdieu,INRA
Daniel Sgroi,University of Warwick
Christian Groth,University of Copenhagen
Isabel Cairo,Board of Governors of the Federal Reserve System
Julio Garin,University of Georgia
George Alogoskoufis,Athens University of Economics and Business
Bard Harstad,University of Oslo
Hidenori Takahashi,University of Mannheim
Markku Siikanen,Aalto U
Joel van der Weele,University of Amsterdam
Nina Hestermann,Toulouse School of Economics
Takeshi Murooka,
Lucia Corno,"Catholic University, Milan"
Stephanos Vlachos,University of Lausanne
Gonzalo Valdes,University of California San Diego
Matteo Fiorini,European University Institute
Marnix Amand,Universite de Lausanne - HEC Lausanne
Andreas Tischbirek,University of Lausanne
Johannes Breckenfelder,European Central Bank
Annukka Ristiniemi,Sveriges Riksbank
Pia Homrighausen,"Institute for Employment Research (IAB), University of Mannheim"
Tomi Kyyrä,"VATT, University of Helsinki"
Hanno Foerster,University of Mannheim
Gregory Huffman,Vanderbilt University
David Zeke,University of Southern California
Keshav Dogra,Federal Reserve Bank of New York
Shaofang Qi,Humboldt University Berlin
Amnon Maltz,University of Haifa
Miguel-Angel Ballester,Universitat Autonoma de Barcelona
Jérémy Leymarie,UNIVERSITY OF ORLEANS
Matthew Pritsker,Federal Reserve Bank of Boston
Andrea Cipollini,University of Palermo
Simon Loertscher,University of Melbourne
Takuro Yamashita,Toulouse School of Economics
Sjaak Hurkens,CSIC
Chaojun Wang,Stanford University
Philipp Ushchev,"Higher School of Economics, Moscow"
Pablo Schenone,Arizona State University
Martin Schumann,University of Luxembourg
Ignace De Vos,Ghent University
Ekaterini Kyriazidou,Athens Univeristy of Economics and Business
Marcos Nakaguma,University of Sao Paulo
Mehdi Shadmehr,University of Calgary
Stephane Wolton,
Patrick Gagliardini,Università della Svizzera italiana
Enrique Sentana,CEMFI
Iacopo Morchio,University of Vienna
Carlo Pizzinelli,University of Oxford
Jean Flemming,University of Oxford
Christian Conrad,University of Heidelberg
Victor Troster,Universitat de les Illes Balears (UIB)
Javier Hidalgo,London School of Economics
Pavel Zryumov,Wharton School of Business
Levent Kockesen,Koc University
Ben Etheridge,University of Essex
Osnat Lifshitz,Tel Aviv Jaffa Academic College
Martin Browning,Oxford University
Tomas Havranek,Czech National Bank
Leif Anders Thorsrud,BI Norwegian Business School
Florian Exler,University of Mannheim
Markus Kösler,University of Cologne
Hamed Markazi Moghadam,Ruhr Graduate School in Economics
Jun Matsui,Waseda University
Tomas Krehlik,Academy of Sciences of the Czech Republic
Ruchith Dissanayake,University of Alberta
Malte Schumacher,University of Muenster
Maximilian Podstawski,DIW Berlin
Mykola Babiak,CERGE-EI
Rafael De Rezende,Sverige Riksbank
Luc Bridet,University of St Andrews
Paul Chen,Australian National University
Liya Chu,Singapore Management University
Riccardo Calcagno,EM Lyon
Víctor López-Pérez,Universidad Politécnica de Cartagena (UPCT)
Riccardo DiCecio,Federal Reserve Bank of St. Louis
Magdalena Grothe,European Central Bank
Elena-Ivona Dumitrescu,Paris Ouest Nanterre la Defense
Nicolas Legrand,INRA
Guillaume Wilemme,Sciences Po Paris
Nick Arefiev,Higher School of Economics
Chiara Dal Bianco,Ca' Foscari University of Venice
Songül Tolan,DIW Berlin
Sirus Dehdari,Stockholm University
Stephan Maurer,London School of Economics
Felix Ward,University of Bonn
David Aikman,Bank of England
William Hanlon,UCLA
Thomas Kittsteiner,RWTH Aachen University
Marco Serena,Max Planck Institute for Tax Law and Public Finance
Chang-Koo Chi,Aalto University School of Business
Anette Boom,Copenhagen Business School
Vatsalya Srivastava,Tilburg University
Thomas Weber,Ecole Polytechnique Federale de Lausanne
Arnold Polanski,University of East Anglia
Katinka Holtsmark,University of Oslo
Inga Deimen,University of Bonn
Abhik Mukherjee,epfl
Diana Bonfim,Banco de Portugal
Yuejuan Yu,Shandong University
Oliver Rehbein,Halle Institute for Economic Research
Marin Ferry,"IRD, UMR225-DIAL"
Maren Froemel,University of Cambridge
Matija Lozej,Central Bank of Ireland
Gábor Uhrin,University of Göttingen
Dimitrios Bermperoglou,University of Lausanne
francesco devicienti,university of torino
Dagmar Müller,Uppsala University
Tatu Westling,University of Helsinki
Jochen Lüdering,Justus-Liebig-Universität Gießen
Eskil Heinesen,Rockwool Foundation
Noemi Mantovan,Bangor University
Federica Origo,Università di Bergamo
Ana Fernandes,Berner Fachhochschule; University of Fribourg
Julian Johnsen,University of Bergen
Philip Rosenbaum,Copenhagen Business School
Michał Brzoza-Brzezina,National Bank of Poland
Felix Rutkowski,University of Bonn
Michael McLeay,Bank of England
Conor M O'Toole,Central Bank of Ireland
Alessandro Flamini,University of Pavia
Simon Rabaté,Paris School of Economics
Alma Ramsden,
Lieke Kools,"Leiden University, Netspar"
Johannes Endler,University of Potsdam
Johannes Geyer,DIW Berlin
Anil Ari,University of Cambridge
André Sterzel,Heinrich Heine University Duesseldorf
Saverio Simonelli,University of Naples Federico II
Francesco Molteni,CEPII
Nuno Coimbra,Paris School of Economics
Dina Pomeranz,Harvard
Federica Liberini,"KOF, ETH Zurich"
Olli Ropponen,Government Institute for Economic Research (VATT)
Olena Dudar,ZEW Centre for European Economic Research
Benedikt Rydzek,ETH Zurich
Michael Irlacher,University of Munich
Wolfgang Lechthaler,Kiel Institute for the World Economy
Yuko Imura,Bank of Canada
Martine Carre,University of Paris Dauphine
Alessandro Barattieri,Collegio Carlo Alberto and ESG UQAM
Klodiana Istrefi,Banque de France
Oke Roehe,Deutsche Bundesbank
Michele Piffer,DIW Berlin
Silvia Delrio,Ca' Foscari University of Venice
Michele Lenza,European Central Bank
Xuedong He,Columbia University
Alan Beggs,WADHAM COLLEGE
Luis Santos-Pinto,U Lausanne
Takuya Ura,"University of California, Davis"
Jérémy L'Hour,CREST
Carlos Flores,California Polytechnic State University
Matthew Greenwood-Nimmo,University of Melbourne
Ana-Maria H. Dumitru,University of Surrey
Fulvio Pegoraro,Banque de France
Kamil Yilmaz,Koc University
Lesley Turner,University of Maryland
Fanny Landaud,Paris School of Economics
Michael Kofoed,United States Military Academy
Cecilia Machado,Getulio Vargas Foundation FGV-EPGE
Heinrich Nax,ETHZ
Ziv Hellman,Bar Ilan University
Andy McLennan,University of Queensland
Matthijs van Veelen,University of Amsterdam
Sergei Izmalkov,New Economic School Moscow
Francesco Nava,London School of Economics
Adriaan Soetevent,U Groningen
Holger Herz,University of Fribourg
Philipp Strack,UC Berkeley
Armin Schmutzler,University of Zurich
John Thanassoulis,University of Warwick
Sarah Auster,"Bocconi, IGIER"
Pavel Andreyanov,UCLA
Nemanja Antic,"Northwestern University, Kellogg School of Management"
Massimo Morelli,Bocconi University
Dominic Rohner,University of Lausanne
Kevin Sheedy,London School of Economics
Andrew Pickering,University of York
Octavia Foarta,Stanford Graduate School of Business
Abhimanyu Gupta,University of Essex
Xuexin Wang,Xiamen University
Taisuke Otsu,London School of Economics
Dante Amengual,Centro de Estudios Monetarios y Financie
Pascal Lavergne,Toulouse School of Economics
Nuray Akin,"Ozyegin University, School of Business"
Serge Darolles,Universite Paris-Dauphine
Paola Pederzoli,University of Geneva
Jerome Detemple,Boston University
Dobrislav Dobrev,Federal Reserve Board of Governors
Alvaro Aguirre,Central Bank of Chile
Ruben Hernandez-Murillo,Federal Reserve Bank of Cleveland
Roberta Zizza,Banca d'Italia
Christian Haefke,NYU Abu Dhabi
Nikolas Mittag,"CERGE-EI, Charles University"
Stefan Klößner,Saarland University
Natalie Obergruber,"ifo Institute, Munich and IZA"
Anthony Strittmatter,University of St. Gallen
Arkadiusz Szydlowski,University of Leicester
Otavio Bartalotti,Iowa State University
Nianqing Liu,Shanghai University of Finance and Economics
Arthur Lewbel,Boston College
Laurent Davezies,Centre de Recherche en Économie et Statistique
Jaya Krishnakumar,University of Geneva
Marcelo Olarreaga,Université de Genève
Bogdan Stacescu,BI Norwegian Business School
Volker Britz,ETH Zurich
Paul Schempp,University of Bonn and Max Planck Institute for Research on Collective Goods
Sweder van Wijnbergen,University of Amsterdam
Sara Tonini,
Eirik Strømland,University of Bergen
Julia Puaschunder,The New School
Andis Sofianos,University of Warwick
Warren Hrung,Bank for International Settlements
Adrian de la Garza,Banco de Mexico
Philippe Bacchetta,University of Lausanne
Cedric Tille,Graduate Institute of International and
Martin Biewen,University of Tübingen
Jan Marcus,"DIW Berlin, University of Hamburg"
Vincenzo Andrietti,"Università ""d'Annunzio"" di Chieti e Pescara"
Pierre Mouganie,American University of Beirut
Renaud Coulomb,University of Melbourne
Aurélien Saussay,French Economic Observatory (OFCE)
Andreas Gerster,RWI
Anna Sahari,
Battista Severgnini,Copenhagen Business School
Tasso Adamopoulos,York University
Russell Toth,The University of Sydney
Clément Imbert,University of Warwick
Gabriel Facchini,European University Institute
Adam Pilny,RWI
Matthieu Cassou,PSE/Univerité Paris 1 Panthéon-Sorbonne
Elaine Kelly,Institute for Fiscal Studies
Adrian Adermon,"IFAU, Uppsala University"
Tuuli Paukkeri,VATT Institute for Economic Research
Andrea Stella,Federal Reserve Board
Matthias Dahm,University of Nottingham
