Presenter Name,Institution
Miguel Fonseca,University of Exeter
Nadine Chlass,University of Jena
Marco Cozzi,University of Victoria
Luca Zavalloni,Central Bank of Ireland
Ricardo Nunes,University of Surrey
Orhan Erem Atesagaoglu,Istanbul Bilgi University
Tamas Hajdu,Centre for Economic and Regional Studies
Elisabeth Grewenig,
Alexander Straub,Leibniz Universität Hannover
Max Brüning,Maastricht University
Jörg Kalbfuss,University of Cambridge
Relika Stoppel,University of Potsdam
Adrian Chadi,University of Konstanz
Alexandre GODZINSKI,French Ministry of Environment-CREST
Leandro Zipitria,FCS - UdelaR
Povilas Lastauskas,CEFER
Sergii Meleshchuk,IMF
Bernhard Mahlberg,Institute for Industrial Research
Cedric Tille,Graduate Institute of International and
Julia Niemeläinen,
Matteo Cacciatore,HEC Montreal
Beau Soederhuizen,Netherlands bureau for economic policy analysis
Galina Potjagailo,Kiel Institute for the World Economy
Eddie Gerba,Danmarks Nationalbank and London School of Economics
Chiara Scotti,Federal Reserve Board
Andreas Georgiadis,Brunel University
Max Kunaschk,Institute for Employment Research (IAB)
Kristina Zapp,ZEW Mannheim
Patrick Burauel,DIW Berlin
Tiago Tristao,Genial Investimentos
Szabolcs Deák,University of Surrey
Timo Haber,University of Cambridge
Gee Hee Hong,IMF
Dimitris Georgarakos,ECB
Rachel Slaymaker,Economic and Social Research Institute
Michał Brzoza-Brzezina,Narodowy Bank Polski
Fergus Cumming,Bank of England
Manabu Nose,The University of Tokyo
Vitalijs Jascisens,National Research University Higher School of Economics
Elias Steiner,University of Lucerne
Patima Chongcharoentanawat,Maastricht University
Rory McGee,University College London/IFS
Ben Etheridge,University of Essex
Rebecca Schrader,Friedrich-Alexander-University Erlangen-Nürnberg
Therese Nilsson,Lund university and the Research Institu
Hanna Virtanen,Elinkeinoelämän tutkimuslaitos (ETLA)
Kristoffer Hvidberg,University of Copenhagen
Johanna Kemper,KOF Swiss Economic Institute
Kirill Shakhnov,Einaudi Institute for Economics and Fina
Nathan Converse,Federal Reserve Board
Josefin Meyer,Kiel Institute for the World Economy
Kerstin Bernoth,DIW
Duccio Gamannossi degl'Innocenti,"Catholic University of the Sacred Heart, Milan"
Nadine Riedel,Ruhr-Universität Bochum
Petr Janský,Charles University in Prague
Kristina Strohmaier,University of Tübingen
Seda Koymen Ozer,Baskent University
Claudio Labanca,Monash University
Yannick Timmer,IMF
Peter Neary,University of Oxford
Daniel Engler,University of Kassel
Nicole Wägner,German Institute for Economic Research (DIW Berlin)
Timo Hener,Aarhus University
Sefi Roth,London School of Economics
Henri Nyberg,University of Turku
Hao Ma,Università della Svizzera italiana and Swiss Finance Institute
Chuanping Sun,"Queen Mary, University of London"
Anthony Neuberger,"City, University of London"
Heidi Thysen,LSE
Shintaro Miura,Kanagawa University
Manuel Foerster,University of Hamburg
Philippe Colo,PSE
Simas Kucinskas,University of Amsterdam
Alexander Mayer,WHU -- Otto von Beisheim School of Management
Jean-Paul RENNE,University of Lausanne
Lisha Li,University of York
Nizar Allouch,University of Kent
Francis Bloch,Universite Paris I
Matthew Elliott,University of Cambridge
Jean-Jacques Herings,Maastricht University
Shuwen Yang,Alliance Manchester Business School
Veronika Selezneva,CERGE-EI
Oliver Scaillet,University of Geneve and Swiss Finance Institute
Alberto Quaini,University of Geneva
Sung-Jin Cho,Seoul National University
Michal Szkup,University of British Columbia
Guido Imbens,Stanford University
Dmitry Arkhangelsky,CEMFI
Taisuke Otsu,London School of Economics
Whitney Newey,Massachusetts Institute of Technology
Marie-Claire Robitaille,Saint Mary's University
Yeorim Kim,VU Amsterdam/ DNB / Tinbergen Institute
Mikhail Poyker,Columbia University
Yannick Dupraz,University of Warwick
Fabian Greimel,University of Mannheim
Michael Siemer,Federal Reserve Board
Davud Rostam-Afschar,Universitaet Hohenheim
Murat Demirci,Koç University
Janine Hart,University of Potsdam
Terje Skjerpen,Statistics Norway
Lucyna Gornicka,International Monetary Fund
Glenn Rudebusch,San Francisco Fed
Michal Kejak,CERGE-EI
Cesaire Meh,Bank of Canada
Christopher Sullivan,University of Wisconsin-Madison
Mitsuru Igami,Yale University
Nathan Miller,Georgetown University
Alon Eizenberg,Hebrew University Jerusalem
Jan Auerbach,University of Exeter
M. Socorro Puy,Universidad de Málaga
Weijia Li,Monash University
Thanh Le,Flinders University
Thomas Douenne,Paris School of Economics
Filippo Natoli,Bank of Italy
Casper Hansen,University of Copenhagen
Julia Bredtmann,RWI - Leibniz Institute for Economic Res
Jakob Hennig,Toulouse School of Economics
Kathleen Kürschner Rauck,Otto von Guericke University Magdeburg
Holger Herz,University of Fribourg
Armando Meier,University of Chicago
Daniel Kamhöfer,University of Düsseldorf
Cristiano Cantore,Bank of England
Sara Restrepo,Universidad del Rosario
Mehmet Turgut,Bocconi University
Stefan Goldbach,Deutsche Bundesbank
Michael O'Grady,Central Bank of Ireland
Saman Darougheh,Danmarks Nationalbank
Oskari Vähämaa,University of Turku
Simeon Alder,University of Wisconsin - Madison
Jiafu An,University of Edinburgh
Anna Maria Menichini,Università di Salerno and CSEF
Manisha Goel,Pomona College
Eeva Mauring,University of Vienna
Atabek Atayev,University of Vienna
Karl Schlag,University of Vienna
Frederic Boissay,Bank for International Settlements
Richard Harrison,Bank of England
Paul Bingley,VIVE
Yonatan Berman,London Mathematical Laboratory
Sumaiya Rahman,University of Surrey
Enrico Rubolino,University of Essex
Catarina Alvarez,NOVA School of Business and Economics
Roberto Zotti,University of Torino
Patrick Balles,University of Basel
Elliott Ash,ETH Zurich
Erik Frohm,Sveriges Riksbank
Philipp Lieberknecht,Deutsche Bundesbank
Mo Tian,University of Nottingham
Gregor Singer,London School of Economics
Muhammad Farooq Naseer,Lahore University of Management Sciences
Damien de Walque,The World Bank
Marc Goñi,University of Vienna
Asger Wingender,University of Copenhagen
Felix Ward,Erasmus University Rotterdam
Hongsong Zhang,University of Hong Kong
Mehmet Ulu,Koc University
Sorawoot Srisuma,University of Surrey
Ekaterina Oparina,University of Surrey
Shruti Sinha,Toulouse School of Economics
Vesa Pursiainen,Imperial College London and University of Hong Kong
Liya Chu,East China University of Science and Technology
Dmitry Makarov,Higher School of Economics
Sina Ates,Federal Reserve Board
Kamil Yilmaz,Koc University
Ia Vardishvili,University of Virginia
Martin Harding,DIW Berlin
Michael Kumhof,Bank of England
Nora Wegner,Bank of England
Bernhard Kasberger,University of Oxford
Alexandros Rigos,Lund University
Alexandros Theloudis,LISER Luxembourg and UCL Economics
Nikolas Mittag,CERGE-EI
Pawan Gopalakrishnan,Reserve Bank of India
Christian Gourieroux,University of Toronto and Toulouse S.E.
Lena Hassani Nezhad,"Royal Holloway, University of London"
Tom Holden,Deutsche Bundesbank
Mariya Teteryatnikova,HSE
László Kóczy,Hungarian Academy of Sciences
Agathe Pernoud,Stanford University
Toke Aidt,University of Cambridge
Janne Tukiainen,VATT Institute for Economic Research
Raphael Franck,Hebrew University of Jerusalem
Philippos Louis,University of Cyprus
Pia Weiss,Nottingham University Business School
Rafael Ribas,University of Amsterdam
Anthoulla Phella,University of Surrey
Lina Lu,Federal Reserve Bank of Boston
Galina Besstremyannaya,"National Research University Higher School of Economics, Russian Federation"
Jake Bradley,University of Nottingham
Attila Gyetvai,Duke University
Rasmus Lentz,University of Wisconsin Madison
Stephen Morris,Princeton University
Francoise Forges,Paris Dauphine
René Flacke,University of Muenster
Raffaele Corvino,Cass Business School
Huichou Huang,City University of Hong Kong
Joseph Kopecky,Trinity College Dublin
Inna Petrunyk,Leuphana University
Francesca Salvati,UCL
Livia Menezes,University of Leicester
Gabor Kertesi,Centre for Economic and Regional Studies of the Hungarian Academy of Scienc
Martin Karlsson,
Davide Cerruti,ETH Zurich
Alvaro Mezza,
Tuuli Paukkeri,VATT Institute for Economic Research
Cristina Barcelo,Banco de España
Eve Colson-Sihra,The Hebrew University of Jerusalem
Maurizio Iacopetta,OFCE Sciences Po and Skema Business School
Alexander Lehner,University of Bologna
Gian Luca Tedeschi,University of Nottingham
Arcangelo Dimico,Queen's University Belfast
Lingwei Wu,University of Bonn
Jeremiah Dittmar,London School of Economics
Lukas Rosenberger,University of Munich (LMU)
Robert Stelter,Max Planck Institute for Demographic Research
Nuno Palma,University of Manchester
Michel Serafinelli,University of Essex
Junichi Yamasaki,Kobe University
Olga Gorelkina,University of Liverpool
Jörg Spenkuch,Northwestern University
Jon H. Fiva,Norwegian Business School (BI)
Massimo Morelli,Bocconi University
Dinara Alpysbayeva,KU Leuven
Michael Haylock,Eberhard Karls Universität Tübingen
Cyprien Batut,Paris School of Economics
egidio farina,Queen's University Belfast
Alexander Plum,Auckland University of Technology
Christoph Schult,Halle Institute for Economic Research
Anca Balietti,Harvard University
Elke Groh,University of Kassel
Eva Tène,
Stephan Sommer,RWI - Leibniz Institute for Economic Research
Karsten Staehr,Tallinn University of Technology
Francesco D'Ascanio,
Pablo Anaya,"Freie Universität Berlin, DIW Berlin"
Vito Cormun,Boston College
Ansgar Rannenberg,National Bank of Belgium
Michael Irlacher,University of Linz
Marcus Biermann,London School of Economics
Francesco Conteduca,Bank of Italy
Michiel Gerritse,Erasmus University Rotterdam
Birgit Meyer,Vienna University of Economics and Business
Berno Buechel,University of Fribourg
Moritz Janas,University of Konstanz
Lea Heursen,Humboldt University of Berlin
Estefania Santacreu-Vasut,ESSEC Business School and THEMA
George Stoye,Institute for Fiscal Studies
Kevin Devereux,University College Dublin
Roberto Nisticò,University of Naples Federico II
Pavel Jelnov,Leibniz University Hannover and IZA
Erkan Gören,Carl von Ossietzky University Oldenburg
Johannes Fedderke,Pennsylvania State University
Chenxue Hou,Sun Yat-sen University
Emmanuel Paroissien,INRA
Carlo Reggiani,University of Manchester
Dmitry Ivanov,Higher school of Economics
Iulia Siedschlag,The Economic and Social Research Institute
Michael Rose,Max Planck Institute for Innovation and Competition
Evgenia Motchenkova,
Bipasa Datta,University of York
Francois Lafond,University of Oxford
Haomin Wang,University of Konstanz
Loris Rubini,University of New Hampshire
Birthe Larsen,Copenhagen Business School
Benjamin Hartung,European Central Bank
Ramon Marimon,European University Institute and UPF - Barcelona GSE
Ekaterina Travova,
Vincent O'Sullivan,Lancaster University Management School
Emma Duchini,University of Warwick
Tim Friehe,University of Marburg
Daniel Montolio,University of Barcelona (Spain)
Mishel Ghassibe,University of Oxford
Elizaveta Lukmanova,KU Leuven and Vienna University of Economics and Business
Alberto Polo,New York University
Shayan Zakipour-Saber,Queen Mary University of London
Anna Samarina,De Nederlandsche Bank
Fabio Verona,Bank of Finland
Marcus Buckmann,Bank of England
Tim Willems,International Monetary Fund
Jan-Egbert Sturm,ETH Zurich
Douglas Scott,University of Nottingham
Theres Klühs,Leibniz University Hannover
Emma Riley,University of Oxford
Conny Wunsch,University of Basel
Matteo Pazzona,Brunel University
Nick Zubanov,University of Konstanz
Hildegunn Stokke,Norwegian University of Science and Technology
Gorkem Bostanci,University of Pennsylvania
Lennart Ziegler,University of Vienna
Omiros Kouvavas,University of Warwick
Eliana Viviano,
Dennis Bonam,De Nederlandsche Bank
Isabel Vansteenkiste,European Central Bank
Stephen Byrne,Central Bank of Ireland
Karen van der Wiel,CPB Netherlands Bureau for Economic Policy Analysis
Kaat Iterbeke,KU Leuven
Manon Garrouste,Université de Lille
Stefania Simion,University of Edinburgh
Gianni De Fraja,Department of Economics
James Costain,European Central Bank
Ran Gu,University Of Essex
Ji-Woong Moon,The Pennsylvania State University
Kunio Tsuyuhara,University of Calgary
Eran Hoffmann,Hebrew University
Daniele Caliari,Queen Mary University
Markus Dertwinkel-Kalt,Frankfurt School of Finance & Management
Philipp Zahn,University of St. Gallen
Seyed Hassan Nosratabadi,Université catholique de Louvain
Gregorio Curello,University of Oxford
Tomoya Tajika,Hokusei Gakuen University
Xiangyu Qu,CNRS
Dimitri Migrow,University of Calgary
Érica Oliveira,Insper
Heski Bar-Isaac,University of Toronto
Tanja Saxell,VATT (Visiting Stanford)
Marie Christelle Mabeu,University of Ottawa
Milena Suarez,INSEE-CREST
Thomas Fischer,Lund University
Anna Rogantini Picco,European University Institute
Diego Legal-Cañisá,University of Virginia
Tom Boot,University of Groningen
Juan Sentana,University of Essex
Nick Koning,University of Groningen
Yi-Ting Chen,Academia Sinica
Tatiana Komarova,London School of Economics
Marco Duarte,University of Wisconsin-Madison
Lorenzo Magnolfi,University of Wisconsin-Madison
Alexander Torgovitsky,University of Chicago
Felicia Ionescu,Federal Reserve Board
Yunho Cho,Jinan University
Jeppe Druedahl,University of Copenhagen
Wenli Li,Research
Anne Hannusch,University of Mannheim
Youngsoo Jang,Shanghai University of Finance and Economics
Andre Victor Luduvice,University of Pennsylvania
Jiri Slacalek,European Central Bank
Weijie Luo,Central University of Finance and Economics
Yi-Chan Tsai,National Taiwan University
Ayse Kabukcuoglu,North Carolina State University
Kevin Sheedy,London School of Economics
Ceri Davies,University of Birmingham
Joey Soudant,University of Namur
Elena Perazzi,University of Lausanne
Christiern Rose,University of Queensland
L. Vanessa Smith,University of York
Hanbat Jeong,OSU
Takashi Yamagata,University of York & Osaka University
Cristina Gualdani,Toulouse School of Economics
Lukas Laffers,"Matej Bel University, Faculty of Natural Sciences"
Erhao Xie,Bank of Canada
Ben Deaner,MiT
Marinho Bertanha,University of Notre Dame
Manuel Hernandez,IFPRI
Abhinav Narayanan,Reserve Bank of India
Sujata Visaria,Hong Kong University of Science and Tech
Dana Kassem,University of Mannheim
Ioana Schiopu,ESADE Business School
Stefan Wolter,University of Bern
Anasuya Raj,Ecole Polytechnique
Erwan Moussault,THEMA University of Cergy Pontoise
Robertas Zubrickas,
Xin Liu,University of Bath
Anita Kopányi-Peuker,University of Amsterdam
Katrin Gödker,University of Hamburg
Flavien Moreau,UCLA
Leonard Treuren,University of Amsterdam
Lassi Ahlvik,Norwegian School of Economics
Torfinn Harding,Norwegian School of Economics
Lutz Sager,London School of Economics and Political Science
Moritz Drupp,Hamburg University
Deni Mazrekaj,KU Leuven
