Presenter Name,Institution
Friedrich Lorenz,University of Muenster
Alexander Kontoghiorghes,Queen Mary University of London
Gustavo Schwenkler,Boston University
Takanori Adachi,Nagoya University
Gyula Seres,"Humboldt U, Tilburg U"
Galina Besstremyannaya,Centre for Economic and Financial Research at New Economic School
Kiyoka Akimoto,"Graduate School, Osaka University"
Markus Fels,University of Dortmund
Tyra Merker,University of Oslo
Philemon Kraehenmann,University of St. Gallen
Robert Genthner,University of Göttingen
Hamidou Jawara,University of Kiel
Kristine Koponen,University of Helsinki
Jaume Ventura,"CREI, UPF, and Barcelona GSE"
Ruben Enikolopov,Universitat Pompeu Fabra and New Economic School
Matthew Gentzkow,Stanford University
David Stromberg,Stockholm University
Joseph Vavra,University of Chicago
Andreas Fuster,Federal Reserve Bank of New York
Johannes Stroebel,New York University
Félix Tintelnot,University of Chicago
Emmanuel Farhi,Harvard University
Vasco Carvalho,U of Cambridge
Simone Cerreia,U Bocconi
Pietro Ortoleva,Princeton University
Nir Jaimovich,University of Zurich
Silvana Tenreyro,London School of Economics
Guillaume Plantin,Sciences Po
Bard Harstad,University of Oslo
Michelle Sovinsky,University of Mannheim
Mauricio Fernandez Duque,Harvard University
Stephan Jagau,University of Amsterdam
Topi Miettinen,Hanken School of Economics
Marvin Deversi,LMU Munich
Matthew Rablen,Sheffield University
Jakob Miethe,DIW Berlin
Dirk Foremny,University of Barcelona / I.E.B.
Aron Toth,
Markus Ludwig,University of Bayreuth
Fatoumata Tapo,University of Cergy Pontoise
Leonard Kukic,Universidad Carlos III de Madrid
Ryuji Sano,Yokohama National University
Filippo Massari,University of New South Wales
Alex Horenstein,University of Miami
Christoph Fricke,Deutsche Bundebank
Yannick Timmer,Herr
Bjorn Imbierowicz,
Peter Schmidt,Bocconi University
Philipp Meinen,Deutsche Bundesbank
Aljoscha Janssen,Stockholm School of Economics
Silke Forbes,Tufts University
Leandro Zipitria,FCS - UdelaR
Natalia Zabelina,University of Siegen
Makram Khalil,Deutsche Bundesbank
Huichou Huang,City University of Hong Kong / Jupiter Asset Management
Graciela Kaminsky,George Washington University
Cedric Tille,Graduate Institute of International and
Nathan Converse,Board of Governors of the Federal Reserve System
Cian Allen,Trinity College Dublin
Chiara Monfardini,University of Bologna
Edda Solbakken,Statistics Norway
Eric Roca Fernandez,Université Catholique de Louvain
Michaela Slotwinski,Universität Basel
Larissa Schaefer,Frankfurt School of Finance and Management
Salih Fendoglu,Central Bank of the Republic of Turkey
Patrick Weber,Deutsche Bundesbank
Jin Cao,Norges Bank
Ebru Voyvoda,Middle East Technical University
Laurent Cavenaile,University of Toronto
Nikolay Chernyshev,University of Bristol
Fabio Blasutto,Universitè Catholique de Louvain
Barbara Boelmann,University College London
Seyit Mümin Cilasun,Central Bank of the Republic of Turkey
Tuomo Virkola,European University Institute
Judit Kreko,Central European University / Hungarian Academy of Sciences
Pietro Garibaldi,University of Torino
Simon Weber,KU Leuven
Edoardo Ciscato,Sciences Po Paris
Emiel Jerphanion,Tilburg University
Johannes Tischer,
Kozo Ueda,Waseda University
Olaf Posch,Universität Hamburg
Alex Grimaud,Università Cattolica del Sacro Cuore and Universiteit van Amsterdam
Manuel Staab,London School of Economics
Michael Konig,University of Zurich
Huyen Nguyen,Erasmus University Rotterdam
Atabek Atayev,University of Vienna
Monika Gehde-Trapp,University of Hohenheim
Yuan Zhang,École polytechnique fédérale de Lausanne (EPFL) and Swiss Finance Institute
Burcu Kapar,American University in Dubai
Senay Agca,George Washington University
Bart Golsteyn,Maastricht University
Ingo Isphording,IZA - Institute of Labor Economics
Andreas Ferrara,University of Warwick
Marc Nückles,
Margarita Rubio,University of Nottingham
Ally Quan Zhang,Swiss Finance Institute and University of Zurich
Maximilian Gödl,Universität Graz (KFU)
Simone Moriconi,IESEG School of Management
Christian Koch,NYU Abu Dhabi
Stephan Sommer,RWI - Leibniz Institute for Economic Research
Gabriel Loumeau,ETH Zurich
Nina Biljanovska,International Monetary Fund
Brendan VANNIER,Paris School of Economics - Ecole Normale Superieure
Matteo Cacciatore,HEC Montreal
Sebastian Schmidt,European Central Bank
Christine Dauth,IAB
Jens Ruhose,Leibniz Universität Hannover
Brecht Neyt,Ghent University
Juliana Camargo,Getulio Vargas Foundation
Federico Gutierrez,Vanderbilt University
Hanno Foerster,University of Mannheim
Jorge Rodriguez,"Universidad de los Andes, Chile"
Virginia Sánchez-Marcos,Universidad de Cantabria
Xiaohui Zhang,University of Exeter
Wei Long,Tulane University
Shyh-Fang Ueng,National Chung-Cheng University
Peter Duersch,University of Mannheim
Has van Vlokhoven,IIES Stockholm University
Tom Holden,University of Surrey
Hylke Vandenbussche,University of Leuven
Harald Fadinger,University of Mannheim
John Fernald,INSEAD/FRBSF
Dimitrije Ruzic,University of Michigan
Dingming Liu,Xiamen University
Andre Silva,Universidade Nova de Lisboa
Romanos Priftis,Bank of Canada
Russell Wong,Federal Reserve Bank of Richmond
Victoria Nuguer,Inter-American Development Bank
Rodolfo Manuelli,Washington University and Federal Reserve Bank of St. Louis
Anna Orlik,Federal Reserve Board of Governors
Dominik Bertsche,University of Konstanz
Thore Schlaak,DIW Berlin
Alejandro Vicondoa,Pontificia Universidad Catolica de Chile
Dennis Kristensen,University College London
Daniel Gutknecht,University of Mannheim
Stefano Lombardi,Uppsala University
Lena Janys,Bonn Graduate School of Economics
David Miller,University of Michigan
Olena Orlova,Bielefeld University
Youzong Xu,Xi'an Jiaotong-Liverpool University
Hannu Vartiainen,"University of Helsinki, HECER"
Andreas Asseyer,Humboldt-Universität zu Berlin
Jean-Baptiste TONDJI,University of Ottawa
Meixia Ruderman,New York University
Rodolfo Prieto,Boston University
Paolo Guasoni,Boston University
Christian Heyerdahl-Larsen,London Business School
Kai Li,University of Technology Sydney
Devesh Rustagi,University of Frankfurt
Lydia Mechtenberg,University of Hamburg
Michel Dummar Azulai,LSE
Kirill Pogorelskiy,University of Warwick
Joao Ayres,Inter-American Development Bank
Konstantin Kucheryavyy,University of Tokyo
Robert Kollmann,"ECARES, Université Libre de Bruxelles & CEPR"
Takashi Kano,Hitotsubashi University
Martin Pollrich,University Bonn
Jacques Lawarree,University of Washington
Zhengqing Gui,Hong Kong University of Science and Technology
Sadao Nagaoka,Tokyo Keizai University
Tim Martens,University of Mannheim
Peichun Wang,"Wharton School, UPenn"
Adam Blandin,Virginia Commonwealth University
Jochen Mankart,Deutsche Bundesbank
Cortnie Shupe,German Institute for Economic Research
Antonis Kotidis,University of Bonn
Sandrine Lecarpentier,Bank of France
Valerio Nispi Landi,Bank of Italy
Thomas Davoine,Institute for Advanced Studies (IHS)
Hyungseok Joo,Wayne State University
Lisa Spantig,LMU Munich
Kumar Aniket,University College London
Marius Bickmann,TU Dortmund
Joanna Clifton-Sprigg,The University of Bath
Martin Lange,"ZEW Centre for European Economic Research, Mannheim"
Philipp Jäger,RWI- Leibniz-Institute for Economic Research
Jarkko Harju,VATT Institute for Economic Research
Jing You,Renmin University of China
Rafael Domenech,Universidad de Valencia and BBVA Research
Anh Nguyen,Bank of Lithuania
Thiago Ferreira,Federal Reserve Board
Mujaheed Shaikh,Vienna University of Economics and Business
Adrian Chadi,University of Konstanz
Julia Witt,University of Manitoba
Sergey Stepanov,National Research University Higher School of Economics
Spyros Terovitis,University of Amsterdam
Ole Jann,University of Oxford
Marica Valente,HU Berlin and DIW Berlin
Esteban Méndez-Chacón,Cornell University
Mery Ferrando,Catholic University of Louvain
Timea Laura Molnar,Analysis Group / Groupe d'Analyse (Montréal)
Mette Gørtz,University of Copenhagen
Cagatay Bircan,EBRD
Balazs Egert,OECD
Désirée Rückert,European Investment Bank
Giovanni Sulis,"University of Cagliari, Sardinia"
Salwan Saif,University of Erlangen-Nürnberg
Eduard Bruell,University of Heidelberg
Joacim Tåg,Research Institute of Industrial Economics (IFN)
Regina Riphahn,FAU Erlangen-Nürnberg
Matthias Collischon,FAU Erlangen-Nürnberg
Lars Other,Friedrich-Schiller-University Jena
Gregor Boehl,Goethe University Frankfurt
Michael Lamla,ETH Zurich
Tim Thomes,University of Duesseldorf
Thuc Huan Ha,CORE - Universite Catholique de Louvain
Taejin Kim,The Chinese University of Hong Kong
Paul Schempp,University of Cologne
Joris Tielens,KU Leuven
Aaron Kamm,New York University Abu Dhabi
Ingrid Sjursen,Centre for Applied Research at NHH (SNF)
Sebastian Tonke,University of Cologne
Vivien Lewis,KU Leuven
Andrea Benecchi,University of Glasgow
Nawid Siassi,University of Konstanz
Asma Benhenda,University College London
Maria Ferreira Sequeda,Maastricht University
Mirjam Reutter,University of Hohenheim
Andrey Stoyanov,York University
Wolf Heinrich Reuter,Staff of the German Council of Economic Experts
Ivan Ledezma,Université de Bourgogne
Alex Chernoff,Bank of Canada
Christophe BRUNEEL,Toulouse School of Economics
Wenli Li,Research
Philipp Pfeiffer,Technische Universität Berlin & European Commission DG ECFIN
Ricardo Nunes,University of Surrey
Andrey Alexandrov,University of Mannheim
Christian Merkl,Friedrich-Alexander-Universität Erlangen-Nürnberg
Cristina Lafuente,University of Edinburgh
Riccardo Zago,New York University
Tai-Wei Hu,University of Bristol
Lorenzo Carbonari,"Università di Roma ""Tor Vergata"""
Yu Zhu,Bank of Canada
Federico Carlini,Università della Svizzera Italiana
Marcin Zamojski,University of Gothenburg
Takashi Yamagata,University of York
Gergely Ganics,Bank of Spain
Sebastiano Manzan,"Baruch College, CUNY"
Michal Kolesar,Princeton University
Phillip Heiler,University of Konstanz
Martin Andresen,Statistics Norway
Eleonora Guarnieri,ifo Institute
Yannick Dupraz,University of Warwick
Danyan Zha,Columbia University
Haiping Zhang,University of Auckland
Ning Zhang,University of Glasgow
Ricardo Reyes-Heroles,Federal Reserve Board
Lucie Menager,Université Paris II
Svetlana Boyarchenko,University of Texas-Austin
Gregorio Curello,University of Oxford
Serafeim Tsoukas,University of Glasgow
Julien Sauvagnat,Bocconi University
Martin Strieborny,Lund University
Jayant Ganguli,University of Essex
Nina Boyarchenko,Federal Reserve Bank of New York
Florian Heiss,University of Duesseldorf
Alexander MacKay,Harvard University
Christian Michel,Universitat Pompeu Fabra
Karl Schlag,University of Vienna
Ran Spiegler,Tel Aviv University and University College London
Ignacio Monzon,Collegio Carlo Alberto
Johannes Schneider,Universidad Carlos III de Madrid
Alex Smolin,University of Bonn
Andy Zapechelnyuk,University of St Andrews
Jeremy Greenwood,University of Pennsylvania
Hamed Ghiaie,Universite de Cergy-Pontoise
William Gatt,University of Nottingham
Melline Somers,Maastricht University
Melanie Koch,DIW Berlin
Timo Reinelt,University of Mannheim
Lira Mota,Columbia University
Moritz Lukas,University of Hamburg
Hermann Buslei,DIW Berlin
Lennard Zyska,Katholische Universität Eichstätt-Ingolstadt
Thomas Middleton,University of Kent
Masashige Hamano,Waseda University
Oliver Hossfeld,Deutsche Bundesbank
Tobias Stöhr,Kiel Institute for the World Economy and DIW Berlin
Arun Advani,Warwick/IFS
Thilo Klein,ZEW - Leibniz Centre for European Economic Research
Kristina Czura,University of Munich (LMU)
Oswaldo Molina,Universidad del Pacifico
Gyozo Gyongyosi,Kiel Institute for the World Economy
Rosalia Greco,Bocconi University
Alexander Donges,University of Mannheim
Volker Benndorf,Goethe-Universität Frankfurt
Emanuele Bacchiega,University of Bologna
Victor Hiller,Université Panthéon Assas
Patrick Fève,Toulouse School of Economics
Paul Berenberg-Gossler,Hertie School of Governance
Jean-François Rouillard,Université de Sherbrooke
Holger Kraft,"Goethe-University, Frankfurt am Main"
Elizabeth Baldwin,Oxford University
Christian Traeger,"University of Oslo, Norway"
Lea Eilers,RWI – Leibniz Institute for Economic Research
Christoph Wigger,University of Cologne
elisabetta pasini,queen mary university of london
Nora Szech,Karlsruhe Institute of Technology
Daniel Habermacher,The University of Warwick
Matthew Robertson,University of Strathclyde
Eniko Gábor-Tóth,Deutsche Bundesbank
Vesa Pursiainen,The University of Hong Kong
Georg Gebhardt,University Ulm
Ann Bauer,University of Fribourg
Alessandro Saia,University of Lausanne
Konstantinos Matakos,King's College London
Jonas Klarin,Uppsala University
Edgar Preugschat,Technical University of Dortmund
Minchul Yum,University of Mannheim
Nils Grevenbrock,
MOHAMED DIABY,University of Nottingham
Jan Witajewski-Baltvilks,Institute for Structural Research
Edoardo Palombo,Queen Mary University
Arzu Uluc,Bank of England
Patricio Toro,Central Bank of Chile
Jana Ohls,Deutsche Bundesbank
Alexander Jung,European Central Bank
Chengbo Xie,SWUFE
Fiorella De Fiore,European Central Bank
Laura van der Erve,Institute for Fiscal Studies
Ciprian Domnisoru,Carnegie Mellon University
Franziska Hampf,Ifo Institute
Heiko Vay,University of Mannheim
Thomas Pope,Institute for Fiscal Studies
Adrien Bussy,LSE
Sandra Garcia-Uribe,Banco de España
Alessandro Di Nola,University of Konstanz
Christopher Krause,Karlsruhe Institute of Technology (KIT)
David Ronayne,University of Oxford
Lukas Kiessling,University of Bonn
Jonas Radbruch,
David Schindler,Tilburg University
Jian Li,University of Luxembourg
Joseph-Simon Goerlach,Bocconi University
Yue Huang,Otto-von-Guericke Universität Magdeburg
Katrien Stevens,University of Sydney
Rainer Kotschy,LMU Munich
Julio Dávila,Université catholique de Louvain
Joseph Kopecky,"University of California, Davis"
Felipe Iachan,FGV
Jonathan Adams,University of Florida
Marco Bonomo,Insper
Andrzej Kociecki,Narodowy Bank Polski
Alessio Volpicella,Queen Mary University
Christian Wolf,Princeton University
Gabriel Bruneau,Bank of Canada
Daniel Grabowski,Justus-Liebig University Giessen
Otilia Boldea,Tilburg University
Bernd Schwaab,European Central Bank
Dan Ben-Moshe,Hebrew University of Jerusalem
Fang Duan,TU Dortmund University
Dante Amengual,CEMFI
David Preinerstorfer,Université libre de Bruxelles
Frank Kleibergen,University of Amsterdam
Emiliano Catonini,Higher School of Economics
Nicodemo De Vito,Bocconi University
Patrick Schmidt,HITS
Julian Hackinger,Technical University of Munich
Daniel Sanchez-Moscona,Universitat Pompeu Fabra
Maria Jose Boccardi,New York University Abu Dhabi
Tiziano Rotesi,Bocconi University
Wladislaw Mill,Friedrich-Schiller-Universität Jena
Sergei Kovbasyuk,Einaudi Institute for Economics and Finance
Kyle Dempsey,The Ohio State University
Sarah Mouabbi,Banque de France
Fang Liu,Cornell University
Ignacio Presno,Federal Reserve Board
Dongyu Guo,University of Duisburg-Essen
Cong Pan,Nagoya University of Commerce & Business
Pilar Alcalde,"Universidad de Los Andes, Chile"
Hajare El Hadri,Université d'Orléans
Jacint Enrich Moya,Toulouse School of Economics (TSE)
Manuel Hernandez,IFPRI
Florian Wozny,
Anca Voia,Toulouse School of Economics
Markus Sihvonen,"Aalto University, School of Business"
Gregor Schwerhoff,Mercator Research Institute on Global Commons and Climate Change (MCC)
Luisa Dressler,OECD
Aliisa Koivisto,University of Helsinki
Uwe Thuemmel,Erasmus University Rotterdam
Herdis Steingrimsdottir,Copenhagen Business School
Bansi Malde,University of Kent
Christine Farquharson,Institute for Fiscal Studies
Tanya Wilson,University of Stirling
Florencia Borrescio Higa,Universidad Adolfo Ibanez
Daniel Sgroi,University of Warwick
Daniel Hopp,University of Muenster
Marina Chugunova,University of Hamburg
Sonja Zitzelsberger,University of Kassel
Teresa Backhaus,WZB
Nicholas Barton,Universität Mannheim
Marc Witte,University of Oxford
Alessandro Tondini,Paris School of Economics
Markus Poschke,McGill
Margaryta Klymak,Trinity College Dublin
Federico Droller,Universidad de Santiago de Chile
Roland Hodler,University of St.Gallen
Thomas Baudin,IESEG School of Management
David Blakeslee,New York University - Abu Dhabi
Thi Kim Cuong PHAM,"BETA, University of Strasbourg"
Eva Raiber,Toulouse School of Economics
Daniel Kamhoefer,Paderborn University
Dan Anderberg,University of London
Patrick Gaule,University of Bath
Kerstin Schneider,University of Wuppertal
Mark Andor,RWI - Leibniz Institute for Economic Research
Achim Voss,University of Hamburg
Jonas Nordström,University of Copenhagen
Thomas Renstrom,Durham University Business School
Corrado Di Maria,University of East Anglia
Richard Jaimes,Tilburg University
Santiago Rubio,University of Valencia
Robert Schmidt,TU Kaiserslautern
Waldemar Marz,Ifo Institute
Marco Runkel,University of Technology Berlin
Tatsuro Senga,Queen Mary University of London
Michel Serafinelli,University of Essex
Marcus Biermann,London School of Economics
Sarah Schröder,University of Edinburgh
Lukas Kuld,Trinity College Dublin
Chi-Yang TSOU,Hong Kong University of Science and Technology (HKUST)
Andrew Chen,Federal Reserve Board
Ilan Cooper,BI Norwegian Business School
Kasper Jørgensen,Aarhus University and CREATES
Fernando Eguren Martin,Bank of England
Veronica Lupi,University of Milan
Anna Ciesielski,ifo Institute
Ou Yang,The University of Melbourne
Sjak Smulders,Tilburg University
Gregor Semieniuk,SOAS University of London
Stephan Luck,Federal Reserve Board
Matthijs Korevaar,Maastricht University
Dmitry Kuvshinov,University of Bonn
Daniel Montolio,University of Barcelona (Spain)
Andrea Papadia,European University Institute
Fabian Wahl,University of Hohenheim
Max Löffler,University of Cologne
Christian Dippel,"University of California, Los Angeles"
Dragan Filimonovic,University of Basel
Laura Hospido,Banco de España and IZA
Krisztina Molnar,Norwegian School of Economics (NHH)
Elena Stepanova,Sant'Anna School of Advanced Studies
Sam Cosaert,LISER
Markus Nagler,Ludwig Maximilians University of Munich
Gábor Kátay,"European Commission, Joint Research Centre (JRC)"
Andrea Canidio,IMT Lucca & INSEAD
Christoph Schottmueller,University of Copenhagen
Hanna Hottenrott,Technical University of Munich
Phurichai Rungcharoenkitkul,BIS
Wolfgang Lemke,European Central Bank
Roc Armenter,Federal Reserve Bank of Philadelphia
Christian Bredemeier,University of Cologne
Federic Holm-Hadulla,European Central Bank
David Hugh-Jones,University of East Anglia
Agnes Norris Keiller,Institute for Fiscal Strudies
Junyi Zhu,Deutsche Bundesbank
Felix Koenig,London School of Economics (LSE) & CEP
Christoph  Hedtrich,UPF
Yongli Wang,University of Leicester
Riccardo DiCecio,Federal Reserve Bank of St. Louis
Marwan Izzeldin,Lancaster University
Enrique Martinez-Garcia,Federal Reserve Bank of Dallas
Robert Lieli,Central European University
Marius Clemens,German Institute for Economic Research (DIW Berlin)
Istvan Konya,Hungarian Academy of Sciences
Bihemo Kimasa,University of Konstanz
Jose Luis Luna Alpizar,CERGE-EI
Junze Sun,University of Amsterdam
Sven Hartmann,IAAEU - Trier University
Lukas Hensel,University of Oxford
Carlo Schwarz,University of Warwick
Maja Adena,WZB Social Science Center
Christian Walter,University Vechta
Christian Meyer,European University Institute
Franziska Heinicke,Utrecht University
